img_path,text
./docs/cloth/00000_00.jpg,"The clothing item is a white t-shirt with red lettering, which can be worn on casual occasions. It has a classic style and is made of cotton fabric."
./docs/cloth/00001_00.jpg,The clothing item in the image is a black t-shirt. It can be worn on casual occasions and is made of cotton fabric.
./docs/cloth/00002_00.jpg,"The clothing in the image is a black long-sleeved shirt, which can be worn for various occasions such as casual or formal events. The style is a classic and versatile fit, and the type is a cotton blend fabric."
./docs/cloth/00003_00.jpg,"The color of the clothing in the image is blue. It can be worn on various occasions, such as casual or formal events. The style is a relaxed fit, and the type is a cotton blend. The fabric is a comfortable and breathable navy blue."
./docs/cloth/00005_00.jpg,"The clothing item is a white shirt with red lettering, which can be worn on casual or formal occasions. The style is a t-shirt, and it is made of cotton fabric."
./docs/cloth/00006_00.jpg,"The clothing in the image is a black long-sleeved shirt, perfect for casual or formal occasions. It is a style 4, made of a soft and comfortable cotton fabric."
./docs/cloth/00007_00.jpg,"The clothing item in the image is a light pink shirt with a three-adidas logo on the left chest. This shirt can be worn on casual or sporty occasions, and its style is a comfortable and relaxed fit. The shirt is made of a cotton fabric."
./docs/cloth/00008_00.jpg,"The clothing item in the image is a red long-sleeved t-shirt with white and red Adidas branding on the chest. This t-shirt is made of cotton and has a casual style. It can be worn on a variety of occasions, such as casual outings, sports events, or as a layering piece for a more formal look."
./docs/cloth/00009_00.jpg,"The clothing item is a black shirt with white trim, which can be worn for casual or formal occasions. It is a t-shirt style, made of cotton fabric."
./docs/cloth/00010_00.jpg,"The clothing item in the image is a black Calvin Klein t-shirt. It is a casual style, made of cotton, and suitable for everyday wear."
./docs/cloth/00011_00.jpg,"The clothing in the image is black and white, and it appears to be a one-piece bathing suit or a leotard. The style is sporty and the fabric is likely to be a synthetic blend."
./docs/cloth/00012_00.jpg,"The color of the clothing is black. It is an occasion-specific sweatshirt, designed for a casual or streetwear style. The sweatshirt is made of a soft and comfortable cotton fabric."
./docs/cloth/00013_00.jpg,The clothing item is a pink t-shirt with a crew neck and a small logo on the left side. It can be worn on casual occasions and is made of cotton.
./docs/cloth/00014_00.jpg,"The clothing is black in color, perfect for formal occasions, and is a long-sleeved, loose-fitting style. It is made of a silky fabric."
./docs/cloth/00015_00.jpg,"The clothing in the image is a white shirt with black and gray trim. It can be worn on casual occasions and is a style T-shirt. The fabric is likely made of cotton, providing a comfortable and breathable fit."
./docs/cloth/00016_00.jpg,"The clothing is black and white, and appears to be a blouse or a top. It is suitable for casual or semi-formal occasions, and is made of a silky or satin-like fabric."
./docs/cloth/00017_00.jpg,"The color of the clothing is red, and it is made of cotton. The style is a loose fit, and the type is a t-shirt. The fabric is a blend of cotton and spandex, providing comfort and flexibility."
./docs/cloth/00018_00.jpg,"The color of the clothing is black. It can be worn for formal occasions, such as work or a special event. The style is a blouse with a collar and a tie, which can be made of silk or other lightweight fabrics."
./docs/cloth/00019_00.jpg,"The clothing item is a black Calvin Klein t-shirt, perfect for casual wear. It is made of cotton, a versatile and comfortable fabric. The style is classic and minimalistic, with a white Calvin Klein logo on the left chest area. This t-shirt can be worn on a variety of occasions, from everyday use to casual outings."
./docs/cloth/00022_00.jpg,"The color of the clothing is predominantly white, with accents of brown and black. It can be worn for casual or formal occasions, and the style is a blend of a t-shirt and a sweater, with a loose fit. The fabric is a mix of cotton and spandex, providing comfort and flexibility."
./docs/cloth/00023_00.jpg,"The color of the clothing in the image is black. It can be worn on various occasions, such as casual or formal events. The style is a fitted, long-sleeved crop top with a high neckline. The type of fabric used is a knit, and it is made of a synthetic fiber."
./docs/cloth/00024_00.jpg,"The clothing item in the image is a colorful striped tank top made of cotton. It can be worn on casual occasions and is a style that is suitable for warmer weather. The fabric is a knit, which provides comfort and breathability."
./docs/cloth/00025_00.jpg,"The color of the clothing is silver. It can be worn on formal occasions or as a casual outfit. The style is modern and sleek, with a long-sleeved, one-piece design. The type is a leotard or bodysuit, and the fabric is likely to be a synthetic or metallic material, such as spandex or lycra."
./docs/cloth/00026_00.jpg,"The clothing item is blue in color, and it is a one-piece swimsuit or bodysuit. The style is sporty and the fabric is likely to be made of a lightweight and quick-drying material, such as nylon or Lycra."
./docs/cloth/00028_00.jpg,"The clothing is a white shirt with red trim, designed for a woman, and made of cotton. It is a stylish and versatile piece that can be worn for various occasions, such as casual outings or formal events."
./docs/cloth/00029_00.jpg,"The clothing is black in color, perfect for casual or formal occasions. It features a floral print design on the front, adding a touch of style and charm. The fabric is made of cotton, providing comfort and breathability."
./docs/cloth/00030_00.jpg,"The clothing item in the image is a blue shirt with white stripes, which can be worn on various occasions, such as casual or sporty events. The style is a classic t-shirt design, and the type and fabric are made of cotton."
./docs/cloth/00031_00.jpg,"The clothing item in the image is a red long-sleeved t-shirt with white trim. It can be worn on casual or sporty occasions, and its style is a classic, comfortable fit. The fabric of the shirt is made of cotton."
./docs/cloth/00032_00.jpg,"The color of the clothing is yellow, and it is a dress. The dress features a print of white horses on it, making it a unique and stylish piece. The fabric of the dress is likely made of cotton, as it appears to be a comfortable and everyday wear. The dress can be worn for various occasions, such as casual outings, horse-themed events, or as a statement piece for a special occasion."
./docs/cloth/00033_00.jpg,"The color of the clothing is blue, and it is a blouse with a floral print. The style is a loose fit, and the fabric is silk. The clothing appears to be suitable for casual occasions."
./docs/cloth/00034_00.jpg,"The color of the clothing item in the image is pink. It can be worn on casual or formal occasions, and it is a style of blouse or shirt. The fabric of the clothing appears to be made of cotton."
